# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-3 Mpc-3, n_0l = 1e1 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-3.192058823529411882e+01, 4.998471976277199718e-12, 4.154010996947712971e-20, 6.248089970346499445e-12, 5.192513746184641214e-20
-3.176176470588235290e+01, 6.315187075670968888e-12, 1.569559163409228632e-19, 7.893983844588710908e-12, 1.961948954261535790e-19
-3.160294117647058698e+01, 7.953431307269927948e-12, 5.299082960181307882e-19, 9.941789134087410742e-12, 6.623853700226633890e-19
-3.144411764705882462e+01, 9.989783684670606882e-12, 1.624104841807018820e-18, 1.248722960583826062e-11, 2.030131052258773573e-18
-3.128529411764705870e+01, 1.251898503696675297e-11, 4.580159502500338003e-18, 1.564873129620844000e-11, 5.725199378125421733e-18
-3.112647058823529278e+01, 1.565819688881332601e-11, 1.202216931252444729e-17, 1.957274611101665832e-11, 1.502771164065555911e-17
-3.096764705882353041e+01, 1.955224567930003818e-11, 2.965824216781339675e-17, 2.444030709912504772e-11, 3.707280270976674748e-17
-3.080882352941176450e+01, 2.425741874600832680e-11, 6.898500540719116510e-17, 3.047509646757436900e-11, 8.666728791769065141e-17
-3.064999999999999858e+01, 2.991990450275570530e-11, 1.524152154307195022e-16, 3.795337021572620512e-11, 1.933385548479601170e-16
-3.049117647058823621e+01, 3.686242306105790280e-11, 3.232199045929719531e-16, 4.721615978352015751e-11, 4.140043272575346098e-16
-3.033235294117647030e+01, 4.537019620910778614e-11, 6.611931912156606077e-16, 5.868426418618451726e-11, 8.552230131995121239e-16
-3.017352941176470438e+01, 5.579111119390684265e-11, 1.310236837959995389e-15, 7.287665915698368245e-11, 1.711485600691226286e-15
-3.001470588235294201e+01, 6.854922988178027089e-11, 2.524127395804447941e-15, 9.043308690825963082e-11, 3.329937222430754910e-15
-2.985588235294117965e+01, 8.416114168224037404e-11, 4.741590103080417213e-15, 1.121417561189021909e-10, 6.318001756238649073e-15
-2.969705882352941018e+01, 1.032557393913353122e-10, 8.707613279298640045e-15, 1.389732824593438701e-10, 1.171969332595037261e-14
-2.953823529411764781e+01, 1.265981094388465811e-10, 1.566676917137374814e-14, 1.721222423096381934e-10, 2.130047163798254669e-14
-2.937941176470588545e+01, 1.551183606564667027e-10, 2.766727456850983582e-14, 2.130580045610782867e-10, 3.800152532726260581e-14
-2.922058823529411598e+01, 1.899463720168750533e-10, 4.803335148594621336e-14, 2.635868574121216530e-10, 6.665544613838484786e-14
-2.906176470588235361e+01, 2.324536236849854090e-10, 8.209050098011127521e-14, 3.259278706068117397e-10, 1.151007317388713679e-13
-2.890294117647059124e+01, 2.843034916876142233e-10, 1.382668076452543447e-13, 4.028054427213444253e-10, 1.958984827678779993e-13
-2.874411764705882177e+01, 3.474959725231047445e-10, 2.297477206147523736e-13, 4.975396626382120744e-10, 3.289494337922486367e-13
-2.858529411764705941e+01, 4.243834276337340154e-10, 3.769378176310804093e-13, 6.141004393814608850e-10, 5.454446718558323887e-13
-2.842647058823529704e+01, 5.179748817307739425e-10, 6.110888061460198950e-13, 7.575871084125985449e-10, 8.937750033062369662e-13
-2.826764705882352757e+01, 6.318470231472198880e-10, 9.795991559612973093e-13, 9.341577719570040712e-10, 1.448293861361675975e-12
-2.810882352941176521e+01, 7.702954183564169232e-10, 1.553691665322335976e-12, 1.151312991816854559e-09, 2.322206983107739948e-12
-2.795000000000000284e+01, 9.385008327487904431e-10, 2.439450244074848942e-12, 1.418221243907893035e-09, 3.686390079665813269e-12
-2.779117647058823337e+01, 1.142708592557817405e-09, 3.793572146702175886e-12, 1.746086335408109848e-09, 5.796669886689707234e-12
-2.763235294117647101e+01, 1.390425455259202467e-09, 5.845701532078580011e-12, 2.148567167287519843e-09, 9.033121721182086461e-12
-2.747352941176470864e+01, 1.690677827592238174e-09, 8.929901108874269448e-12, 2.642322802872501407e-09, 1.395634398363079580e-11
-2.731470588235293917e+01, 2.054305103145840870e-09, 1.352875301728137799e-11, 3.247651895172646152e-09, 2.138761195141583220e-11
-2.715588235294117680e+01, 2.494290675791703131e-09, 2.033484132613800158e-11, 3.989238852321129405e-09, 3.252248820128667587e-11
-2.699705882352941444e+01, 3.026195270217753202e-09, 3.033606773363026563e-11, 4.897121013158231302e-09, 4.909114630407257324e-11
-2.683823529411764497e+01, 3.668626506026594439e-09, 4.493353740451230267e-11, 6.007788311720601964e-09, 7.358371869680118661e-11
-2.667941176470588260e+01, 4.443787946785880732e-09, 6.610382032567865396e-11, 7.365500043662419941e-09, 1.095659147838494245e-10
-2.652058823529412024e+01, 5.378196494624757061e-09, 9.662150629247750825e-11, 9.023988831310981532e-09, 1.621196612134185528e-10
-2.636176470588235077e+01, 6.503413361781241280e-09, 1.403634740721616818e-10, 1.104832586383128326e-08, 2.384565326943829281e-10
-2.620294117647058840e+01, 7.856940488337768847e-09, 2.027236430139863463e-10, 1.351722739086801792e-08, 3.487695476620495176e-10
-2.604411764705882604e+01, 9.483388609779838514e-09, 2.911767663924563881e-10, 1.652603316801322933e-08, 5.074132356227765756e-10
-2.588529411764705657e+01, 1.143556753767870398e-08, 4.160428437667847036e-10, 2.018980949132397846e-08, 7.345351009649251251e-10
-2.572647058823529420e+01, 1.377594880237231988e-08, 5.915209941179394975e-10, 2.464740456373547439e-08, 1.058326904311458963e-09
-2.556764705882353184e+01, 1.657845605112075221e-08, 8.370844665578718525e-10, 3.006647975300327370e-08, 1.518125879014792589e-09
-2.540882352941176237e+01, 1.993008445007616852e-08, 1.179358575540363500e-09, 3.664871309676752277e-08, 2.168679926141809076e-09
-2.525000000000000000e+01, 2.393320252206567150e-08, 1.654642919337553612e-09, 4.463680834750120539e-08, 3.086004842265697686e-09
-2.509117647058823763e+01, 2.870811634066622755e-08, 2.312291051250362914e-09, 5.432272876156201777e-08, 4.375416279643846785e-09
-2.493235294117646816e+01, 3.439544221562210323e-08, 3.219228318663698219e-09, 6.605645272423877067e-08, 6.182528542800801564e-09
-2.477352941176470580e+01, 4.115952557065609893e-08, 4.465976287303614681e-09, 8.025777278199387629e-08, 8.708295471017807373e-09
-2.461470588235294343e+01, 4.919184799486790601e-08, 6.174665337404926861e-09, 9.742944084744787404e-08, 1.222955054069615784e-08
-2.445588235294117396e+01, 5.871427129953965843e-08, 8.509662296845984795e-09, 1.181715930567752688e-07, 1.712701746502560170e-08
-2.429705882352941160e+01, 6.998382812392011083e-08, 1.169162523935115991e-08, 1.432012058654551616e-07, 2.392345314173840780e-08
-2.413823529411764923e+01, 8.329662684663870760e-08, 1.601603185048389769e-08, 1.733722512163785198e-07, 3.333550952290049758e-08
-2.397941176470587976e+01, 9.899181875989040162e-08, 2.187752188773914239e-08, 2.096988130228904439e-07, 4.634413660859061656e-08
-2.382058823529411740e+01, 1.174577470951063159e-07, 2.980175924722359934e-08, 2.533863092469925567e-07, 6.428999339317340067e-08
-2.366176470588235503e+01, 1.391350201988489795e-07, 4.048696673759803706e-08, 3.058605698322195188e-07, 8.900251496310415195e-08
-2.350294117647058556e+01, 1.645204173291982142e-07, 5.485783035374313980e-08, 3.688035404540206154e-07, 1.229741717443108114e-07
-2.334411764705882320e+01, 1.941737134036089693e-07, 7.413511296465652596e-08, 4.442016486685824445e-07, 1.695952496653440435e-07
-2.318529411764706083e+01, 2.287164478909417869e-07, 9.992506956167174469e-08, 5.343834633740813678e-07, 2.334694563625083407e-07
-2.302647058823529136e+01, 2.688346035555200211e-07, 1.343336163631842230e-07, 6.420740693312864655e-07, 3.208371636893264622e-07
-2.286764705882352899e+01, 3.152822628703423423e-07, 1.801111234834247980e-07, 7.704621326637230892e-07, 4.401414752994409960e-07
-2.270882352941176663e+01, 3.688714128044275411e-07, 2.408346847111273752e-07, 9.232452811504822256e-07, 6.027831880666783001e-07
-2.255000000000000071e+01, 4.304699609086781289e-07, 3.211356714881924110e-07, 1.104707295176193949e-06, 8.241246805827002556e-07
-2.239117647058823479e+01, 5.009943813416136800e-07, 4.269810442237436515e-07, 1.319797711767773011e-06, 1.124820209810810589e-06
-2.223235294117647243e+01, 5.813842911353420312e-07, 5.660174201619455463e-07, 1.574180719129120160e-06, 1.532572728737039910e-06
-2.207352941176470651e+01, 6.725894836374952008e-07, 7.479866136312433749e-07, 1.874332915997488937e-06, 2.084445214742840917e-06
-2.191470588235294059e+01, 7.755402364167955623e-07, 9.852198241139956269e-07, 2.227616949396210284e-06, 2.829888477763008786e-06
-2.175588235294117823e+01, 8.910977277867493398e-07, 1.293215193909711389e-06, 2.642317050947750993e-06, 3.834691135280374288e-06
-2.159705882352941231e+01, 1.020024639440987684e-06, 1.691297848124486989e-06, 3.127750713627306861e-06, 5.186108106493182989e-06
-2.143823529411764639e+01, 1.162917411113115816e-06, 2.203352587955593779e-06, 3.694289527855425515e-06, 6.999484498272547202e-06
-2.127941176470588402e+01, 1.320126351276529418e-06, 2.858607605057095943e-06, 4.353352129278622166e-06, 9.426768500010492810e-06
-2.112058823529411811e+01, 1.491710047440370914e-06, 3.692426894348625149e-06, 5.117519975834129099e-06, 1.266738695201528147e-05
-2.096176470588235219e+01, 1.677313008051154631e-06, 4.747042365773590828e-06, 6.000414098410804492e-06, 1.698205391636271191e-05
-2.080294117647058982e+01, 1.876061355133147886e-06, 6.072123010044389708e-06, 7.016611910774497369e-06, 2.271020109197950857e-05
-2.064411764705882746e+01, 2.086516766923991284e-06, 7.725024096505484592e-06, 8.181771897782100434e-06, 3.029181747513873065e-05
-2.048529411764705799e+01, 2.306485535528879331e-06, 9.770500889050503528e-06, 9.512201005994258606e-06, 4.029462442069160966e-05
-2.032647058823529562e+01, 2.532934610930787463e-06, 1.227959709689698987e-05, 1.102474580916879855e-05, 5.344766345253106413e-05
-2.016764705882353326e+01, 2.761952690123431437e-06, 1.532730274348625968e-05, 1.273684805181206456e-05, 7.068242942249030887e-05
-2.000882352941176379e+01, 2.988528153966998446e-06, 1.898848006270891010e-05, 1.466571608365765760e-05, 9.318287903368960496e-05
-1.985000000000000142e+01, 3.206545811932766209e-06, 2.333142142850883741e-05, 1.682829277547534053e-05, 1.224457761388684498e-04
-1.969117647058823906e+01, 3.408768729886199584e-06, 2.840819680990815308e-05, 1.924110686099997597e-05, 1.603526651002839555e-04
-1.953235294117646959e+01, 3.586667700979083732e-06, 3.424085672156510678e-05, 2.191910140890443123e-05, 2.092551843046049314e-04
-1.937352941176470722e+01, 3.980137951689540236e-06, 4.353203661945189215e-05, 2.487586219805957904e-05, 2.720752288715742938e-04
-1.921470588235294485e+01, 4.499701176636845444e-06, 5.638736445855716591e-05, 2.812313235398027555e-05, 3.524210278659822598e-04
-1.905588235294117538e+01, 5.067103201817884229e-06, 7.275535752317597183e-05, 3.166939501136173916e-05, 4.547209845198497968e-04
-1.889705882352941302e+01, 5.683336028773023556e-06, 9.350018167500531707e-05, 3.552085017983152258e-05, 5.843761354687830589e-04
-1.873823529411765065e+01, 6.348829647812080732e-06, 1.196690298913562179e-04, 3.968018529882559944e-05, 7.479314368209761654e-04
-1.857941176470588118e+01, 7.063230944654672614e-06, 1.525228253195211000e-04, 4.414519340409156153e-05, 9.532676582470068615e-04
-1.842058823529411882e+01, 7.825814567750315025e-06, 1.935700327493314907e-04, 4.891134104843949601e-05, 1.209812704683321674e-03
-1.826176470588235645e+01, 8.634999645687881174e-06, 2.446034098539109306e-04, 5.396874778554913536e-05, 1.528771311586943262e-03
-1.810294117647058698e+01, 9.488227377218007384e-06, 3.077400234364805441e-04, 5.930142110761264101e-05, 1.923375146478003075e-03
-1.794411764705882462e+01, 1.038284646559284622e-05, 3.854635314261491315e-04, 6.489279040995492298e-05, 2.409147071413431963e-03
-1.778529411764706225e+01, 1.131492850966027896e-05, 4.806685618440647754e-04, 7.071830318537654023e-05, 3.004178511525404643e-03
-1.762647058823529278e+01, 1.227965677772164046e-05, 5.967077902048492860e-04, 7.674785486075971080e-05, 3.729423688780307902e-03
-1.746764705882353041e+01, 1.327249642083167848e-05, 7.374386383502767005e-04, 8.295310263019793628e-05, 4.608991489689229053e-03
-1.730882352941176805e+01, 1.428719138834579853e-05, 9.072705516060964714e-04, 8.929494617716110527e-05, 5.670440947538102350e-03
-1.714999999999999858e+01, 1.531706852405312000e-05, 1.111214249192117587e-03, 9.573167827533340946e-05, 6.945089057450733183e-03
-1.699117647058823621e+01, 1.635593721634989901e-05, 1.354924010600709085e-03, 1.022246076021870315e-04, 8.468275066254431563e-03
-1.683235294117647385e+01, 1.739550732725845573e-05, 1.644740603533933337e-03, 1.087219207953644268e-04, 1.027962877208708249e-02
-1.667352941176470438e+01, 1.842795588850041147e-05, 1.987732708214910628e-03, 1.151747243031270296e-04, 1.242332942634319023e-02
-1.651470588235294201e+01, 1.944584307699438047e-05, 2.391721543698911712e-03, 1.215365192312189979e-04, 1.494825964811819473e-02
-1.635588235294117965e+01, 2.043911961919142248e-05, 2.865308070656214390e-03, 1.277444976199477999e-04, 1.790817544160133723e-02
-1.619705882352941018e+01, 2.139990852433569513e-05, 3.417890516829385529e-03, 1.337494282771002629e-04, 2.136181573018365587e-02
-1.603823529411764781e+01, 2.231982178587180177e-05, 4.059650572868602099e-03, 1.394988861617013631e-04, 2.537281608042875683e-02
-1.587941176470588367e+01, 2.318726262264762111e-05, 4.801551697741174990e-03, 1.449203913915508846e-04, 3.000969811088233935e-02
-1.572058823529411775e+01, 2.399589491565521510e-05, 5.655305056056514693e-03, 1.499743432228431428e-04, 3.534565660035320772e-02
-1.556176470588235361e+01, 2.473644471732462657e-05, 6.633287138164715643e-03, 1.546027794832871560e-04, 4.145804461352946280e-02
-1.540294117647058947e+01, 2.539596345756209989e-05, 7.748501071304036980e-03, 1.587247716097611727e-04, 4.842813169565022419e-02
-1.524411764705882355e+01, 2.597201373927097989e-05, 9.014438279301321272e-03, 1.623250858704475275e-04, 5.634023924563324320e-02
-1.508529411764705941e+01, 2.645372990944284963e-05, 1.044488988193225179e-02, 1.653358119340364585e-04, 6.528056176207655548e-02
-1.492647058823529527e+01, 2.682921799671868224e-05, 1.205388776610591579e-02, 1.676826124794861261e-04, 7.533679853816196981e-02
-1.476764705882352935e+01, 2.710031682795141506e-05, 1.385535235151992735e-02, 1.693769801746902726e-04, 8.659595219699953161e-02
-1.460882352941176521e+01, 2.725529077112973098e-05, 1.586276777024922188e-02, 1.703455673195547471e-04, 9.914229856405762376e-02
-1.445000000000000107e+01, 2.728713955590586493e-05, 1.808919591590283857e-02, 1.705446222244055843e-04, 1.130574744743927246e-01
-1.429117647058823515e+01, 2.720112594978979503e-05, 2.054644597264519354e-02, 1.700070371861983620e-04, 1.284152873290324293e-01
-1.413235294117647101e+01, 2.698670679260328775e-05, 2.324479322308952572e-02, 1.686669174537636096e-04, 1.452799576443095098e-01
-1.397352941176470686e+01, 2.664534134211304917e-05, 2.619298623453669705e-02, 1.665333833882065573e-04, 1.637061639658543288e-01
