# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-3 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-3.192058823529411882e+01, 1.223303834910069675e-12, 8.856563865675128729e-19, 1.529129793637587094e-12, 1.107070483209390899e-18
-3.176176470588235290e+01, 1.623299343100962087e-12, 2.525764660183887598e-18, 2.029124178876202811e-12, 3.157205825229859594e-18
-3.160294117647058698e+01, 2.149342831804997020e-12, 6.645610714891223922e-18, 2.686678539756246578e-12, 8.307013393614031250e-18
-3.144411764705882462e+01, 2.840214627197143487e-12, 1.632436972032457780e-17, 3.550268283996429864e-12, 2.040546215040572225e-17
-3.128529411764705870e+01, 3.746345684628576618e-12, 3.781584184926687082e-17, 4.682932105785720166e-12, 4.726980231158358699e-17
-3.112647058823529278e+01, 4.933219295385585732e-12, 8.331896580203070876e-17, 6.166524119231982165e-12, 1.041487072525383890e-16
-3.096764705882353041e+01, 6.485733229246039976e-12, 1.758519926834896865e-16, 8.107166536557550172e-12, 2.198149908543621266e-16
-3.080882352941176450e+01, 8.470949123478416074e-12, 3.558571030419445400e-16, 1.064222844206783421e-11, 4.470706325939717436e-16
-3.064999999999999858e+01, 1.099665015760402993e-11, 6.941556002982917042e-16, 1.394924019646953353e-11, 8.805357143775052139e-16
-3.049117647058823621e+01, 1.425373741662352557e-11, 1.316503263906169411e-15, 1.825725732301662382e-11, 1.686276248339915732e-15
-3.033235294117647030e+01, 1.844774991708034096e-11, 2.435643234064530165e-15, 2.386131690471469662e-11, 3.150392613520208391e-15
-3.017352941176470438e+01, 2.383999542540303243e-11, 4.407726863493763294e-15, 3.114078898487493632e-11, 5.757555306103984488e-15
-3.001470588235294201e+01, 3.076205356384617325e-11, 7.819810329940478369e-15, 4.058262168974772474e-11, 1.031622949511169649e-14
-2.985588235294117965e+01, 3.963385804467497209e-11, 1.362573524133020298e-14, 5.281071946098646088e-11, 1.815581214598022977e-14
-2.969705882352941018e+01, 5.098618410672899866e-11, 2.335462089745850856e-14, 6.862298800199338639e-11, 3.143329703361512189e-14
-2.953823529411764781e+01, 6.548854155075259668e-11, 3.942719584980429362e-14, 8.903793798554647507e-11, 5.360504503369149879e-14
