# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-2.652058823529412024e+01, 5.576040282336693119e-09, 5.649145064983869892e-12, 9.355947719841951340e-09, 9.478609051160519046e-12
-2.636176470588235077e+01, 7.052072847572968649e-09, 1.027303057509882004e-11, 1.198041620625553095e-08, 1.745234126894050161e-11
-2.620294117647058840e+01, 8.907557615796450464e-09, 1.830226661588506721e-11, 1.532472875016672848e-08, 3.148756185469727338e-11
-2.604411764705882604e+01, 1.123632973190996091e-08, 3.198978892086057913e-11, 1.958076015621468131e-08, 5.574635127771667053e-11
-2.588529411764705657e+01, 1.415413100091923518e-08, 5.492291350644930214e-11, 2.498950817108375383e-08, 9.696791669937242031e-11
-2.572647058823529420e+01, 1.780330213246388702e-08, 9.272594458032756823e-11, 3.185299223482061282e-08, 1.659017395035815268e-10
-2.556764705882353184e+01, 2.235837409609675561e-08, 1.540873104263814582e-10, 4.054886655292129518e-08, 2.794508116343158383e-10
-2.540882352941176237e+01, 2.803248093452770188e-08, 2.522395733058026030e-10, 5.154791760835638331e-08, 4.638342490164455457e-10
-2.525000000000000000e+01, 3.508498508671290490e-08, 4.070622478738244993e-10, 6.543552847750581058e-08, 7.591946596822884241e-10
-2.509117647058823763e+01, 4.383029281959344380e-08, 6.480290506943404642e-10, 8.293755954325211101e-08, 1.226228357609624993e-09
-2.493235294117646816e+01, 5.464774264961799367e-08, 1.018284415183402118e-09, 1.049509992106251657e-07, 1.955615395485181728e-09
-2.477352941176470580e+01, 6.799314895225288837e-08, 1.580210208254773574e-09, 1.325811856109591711e-07, 3.081283131511984435e-09
-2.461470588235294343e+01, 8.441165255718771910e-08, 2.422933811568807425e-09, 1.671858335249746115e-07, 4.798865992921280272e-09
-2.445588235294117396e+01, 1.045517732233034870e-07, 3.672334086078969608e-09, 2.104266871622630428e-07, 7.391142895646413473e-09
-2.429705882352941160e+01, 1.291815087658608935e-07, 5.504222861370140896e-09, 2.643317510158793639e-07, 1.126276415895294280e-08
-2.413823529411764923e+01, 1.592052705855398758e-07, 8.161516567535429407e-09, 3.313672739443176355e-07, 1.698724851437950591e-08
-2.397941176470587976e+01, 1.956819098268897947e-07, 1.197636470794672046e-08, 4.145217729586495007e-07, 2.537007093159143972e-08
-2.382058823529411740e+01, 2.398449859535893610e-07, 1.739836709182101106e-08, 5.174067891236505821e-07, 3.753271396182372625e-08
-2.366176470588235503e+01, 2.931219961492198964e-07, 2.503018636323733707e-08, 6.443701998564107926e-07, 5.502386856396745471e-08
-2.350294117647058556e+01, 3.571542859343280284e-07, 3.567204009901057745e-08, 8.006286835350184915e-07, 7.996560486111798914e-08
-2.334411764705882320e+01, 4.338190073802730071e-07, 5.037672777902214808e-08, 9.924263945116661820e-07, 1.152443610503361857e-07
-2.318529411764706083e+01, 5.252449863374946578e-07, 7.051699754812849108e-08, 1.227206165132205009e-06, 1.647591055387447813e-07
-2.302647058823529136e+01, 6.338295947861620509e-07, 9.786716460885793472e-08, 1.513813853590854160e-06, 2.337421143083869542e-07
-2.286764705882352899e+01, 7.622547022929965279e-07, 1.347009273790996900e-07, 1.862738417996992392e-06, 3.291715900395007192e-07
-2.270882352941176663e+01, 9.134883134955792617e-07, 1.839072480503620180e-07, 2.286362525111306635e-06, 4.602999664327200108e-07
-2.255000000000000071e+01, 1.090787739166431697e-06, 2.491259155668513488e-07, 2.799268897653788066e-06, 6.393273429885943224e-07
-2.239117647058823479e+01, 1.297693029494876139e-06, 3.349039182690385613e-07, 3.418585825888717037e-06, 8.822562516766981351e-07
-2.223235294117647243e+01, 1.537995477125661082e-06, 4.468729259782043635e-07, 4.164341663705869113e-06, 1.209972052395794257e-06
-2.207352941176470651e+01, 1.815707097473068803e-06, 5.919468969703299945e-07, 5.059906022019033326e-06, 1.649602886315797111e-06
-2.191470588235294059e+01, 2.135002178093160025e-06, 7.785369341919456901e-07, 6.132456854710717102e-06, 2.236224490878499776e-06
-2.175588235294117823e+01, 2.500120494987404533e-06, 1.016777831005296388e-06, 7.413452876529017806e-06, 3.014988498022423005e-06
-2.159705882352941231e+01, 2.915272734069677191e-06, 1.318757053087594789e-06, 8.939241290682750445e-06, 4.043768311475578579e-06
-2.143823529411764639e+01, 3.384480047533821016e-06, 1.698731926821419852e-06, 1.075162266671372813e-05, 5.396434439727909414e-06
-2.127941176470588402e+01, 3.911365627610328190e-06, 2.173314232291384386e-06, 1.289842587179584714e-05, 7.166891359746349994e-06
-2.112058823529411811e+01, 4.498955808712286344e-06, 2.761592963738240402e-06, 1.543429720875459096e-05, 9.474030949448532514e-06
-2.096176470588235219e+01, 5.149340792129975233e-06, 3.485155107053538828e-06, 1.842123499806318275e-05, 1.246778254215666538e-05
-2.080294117647058982e+01, 5.863300555976826183e-06, 4.367950733314772106e-06, 2.192918925863058028e-05, 1.633646738535236904e-05
-2.064411764705882746e+01, 6.639963510062916696e-06, 5.435932380026568938e-06, 2.603701427667961564e-05, 2.131569680636327926e-05
-2.048529411764705799e+01, 7.476183015428481356e-06, 6.716377209443100292e-06, 3.083260419582437934e-05, 2.769908116230699154e-05
-2.032647058823529562e+01, 8.365987236678115835e-06, 8.236777095446322927e-06, 3.641344799391941204e-05, 3.585105330875861131e-05
-2.016764705882353326e+01, 9.300038108470086836e-06, 1.002315382509420163e-05, 4.288747330366166234e-05, 4.622214845557636283e-05
