# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e1 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-3.192058823529411882e+01, 3.363720120925911119e-12, 1.661735384297739162e-35, 4.204650151157388798e-12, 2.077169230372173819e-35
-3.176176470588235290e+01, 4.253769444952281010e-12, 1.232936603199196882e-33, 5.317211806190351060e-12, 1.541170753998996102e-33
-3.160294117647058698e+01, 5.364441396096499662e-12, 4.141367099924872093e-32, 6.705551745120624376e-12, 5.176708874906090253e-32
-3.144411764705882462e+01, 6.751132991548799732e-12, 1.018629027491722000e-30, 8.438916239436000473e-12, 1.273286284364652324e-30
-3.128529411764705870e+01, 8.483582156465221974e-12, 2.506488042885977215e-29, 1.060447769558152666e-11, 3.133110053607471239e-29
-3.112647058823529278e+01, 1.064957743297779438e-11, 4.805529140699445026e-28, 1.331197179122224338e-11, 6.006911425874306507e-28
-3.096764705882353041e+01, 1.335962458282238552e-11, 7.725532276570720083e-27, 1.669953072852798110e-11, 9.656915345713402256e-27
-3.080882352941176450e+01, 1.666853698346682875e-11, 1.028433638933410241e-25, 2.094102747960651737e-11, 1.292042433911136220e-25
-3.064999999999999858e+01, 2.069795033896641358e-11, 1.140853938050027884e-24, 2.625533018827503862e-11, 1.447172128136100723e-24
-3.049117647058823621e+01, 2.569959475241991635e-11, 1.076078594076566204e-23, 3.291797096984299124e-11, 1.378322275597222988e-23
-3.033235294117647030e+01, 3.191134881038523264e-11, 8.739203862666741370e-23, 4.127586346541300514e-11, 1.130375865887718986e-22
-3.017352941176470438e+01, 3.962963098589464155e-11, 6.180417581867729839e-22, 5.176586463457104752e-11, 8.073117310680031855e-22
-3.001470588235294201e+01, 4.922382026471129644e-11, 3.847001246526234695e-21, 6.493817689319286104e-11, 5.075129197851974623e-21
-2.985588235294117965e+01, 6.115421599333768784e-11, 2.128284143593827930e-20, 8.148583822045159094e-11, 2.835863637446229394e-20
-2.969705882352941018e+01, 7.599438820375308065e-11, 1.055969088038120038e-19, 1.022818648088771199e-10, 1.421242937248019200e-19
-2.953823529411764781e+01, 9.445897284058456111e-11, 4.738046378123660412e-19, 1.284260111280754961e-10, 6.441827373130276393e-19
-2.937941176470588545e+01, 1.174382197025356319e-10, 1.937355487881005659e-18, 1.613036177222174048e-10, 2.660994434356623732e-18
-2.922058823529411598e+01, 1.460409159288168748e-10, 7.270564697198193425e-18, 2.026596542725480456e-10, 1.008929667777875835e-17
-2.906176470588235361e+01, 1.816476980614291109e-10, 2.520789772650428221e-17, 2.546918670969927688e-10, 3.534449710109860025e-17
-2.890294117647059124e+01, 2.259772472999720845e-10, 8.123990099027576370e-17, 3.201679465957171577e-10, 1.151019077914892946e-16
-2.874411764705882177e+01, 2.811440847254210895e-10, 2.447554136288682334e-16, 4.025379979266215651e-10, 3.504372296507303912e-16
-2.858529411764705941e+01, 3.496792819596785256e-10, 6.929751040370145817e-16, 5.060004390165846212e-10, 1.002763746554265884e-15
-2.842647058823529704e+01, 4.349957566825880485e-10, 1.852920655407383571e-15, 6.362223132823644985e-10, 2.710071184837256871e-15
-2.826764705882352757e+01, 5.412282037280533346e-10, 4.700363510445895619e-15, 8.001818705998511951e-10, 6.949278770730345779e-15
-2.810882352941176521e+01, 6.734791855532936914e-10, 1.136010476822599389e-14, 1.006607747583627801e-09, 1.697924704779626548e-14
-2.795000000000000284e+01, 8.380884489005101547e-10, 2.626136659134363366e-14, 1.266482459075953387e-09, 3.968502391714532596e-14
-2.779117647058823337e+01, 1.042936041792329428e-09, 5.827976632828044874e-14, 1.593631467496003662e-09, 8.905289089391295047e-14
-2.763235294117647101e+01, 1.297792104542297280e-09, 1.245788958488528946e-13, 2.005424667131645976e-09, 1.925066348183899427e-13
-2.747352941176470864e+01, 1.614780902536236424e-09, 2.573016207978598370e-13, 2.523705185446843505e-09, 4.021309848361080427e-13
-2.731470588235293917e+01, 2.008934136280995807e-09, 5.149279218232349928e-13, 3.175924912506445436e-09, 8.140497916427651967e-13
-2.715588235294117680e+01, 2.498854062061869894e-09, 1.001117028918095844e-12, 3.996537295114418084e-09, 1.601134537462335068e-12
-2.699705882352941444e+01, 3.107567428814096157e-09, 1.895332091880281777e-12, 5.028800984926715508e-09, 3.067108955395400700e-12
-2.683823529411764497e+01, 3.863529080051910373e-09, 3.501704143510598342e-12, 6.326963186630876181e-09, 5.734434178548148242e-12
-2.667941176470588260e+01, 4.801835315511659961e-09, 6.325694948230824156e-12, 7.958957234141184873e-09, 1.048472766372402269e-11
-2.652058823529412024e+01, 5.965776374544728613e-09, 1.119251677811494914e-11, 1.000987959956392160e-08, 1.877974270760017308e-11
-2.636176470588235077e+01, 7.408595294848508971e-09, 1.942741698235583961e-11, 1.258609447951723756e-08, 3.300427353656764901e-11
-2.620294117647058840e+01, 9.195652340952281201e-09, 3.312641881882512525e-11, 1.582037230452752339e-08, 5.699131061051494119e-11
-2.604411764705882604e+01, 1.140714983080722252e-08, 5.555766098154068303e-11, 1.987843630725083976e-08, 9.681642141832369560e-11
-2.588529411764705657e+01, 1.414110573749089219e-08, 9.174900901518528765e-11, 2.496651170970778110e-08, 1.619854027297689507e-10
-2.572647058823529420e+01, 1.751709906937793993e-08, 1.493382442593827396e-10, 3.134092858066093047e-08, 2.671903166818602674e-10
-2.556764705882353184e+01, 2.168081799529418498e-08, 2.397892363392268774e-10, 3.932005931517329633e-08, 4.348787484884088729e-10
-2.540882352941176237e+01, 2.680894190407266185e-08, 3.801127227181263104e-10, 4.929799583797108853e-08, 6.989755690309940124e-10
-2.525000000000000000e+01, 3.311535366459030147e-08, 5.952756303809501818e-10, 6.176205184087743356e-08, 1.110223514916343256e-09
-2.509117647058823763e+01, 4.085833740926383325e-08, 9.215406316746018368e-10, 7.731389807654350927e-08, 1.743778699485936975e-09
-2.493235294117646816e+01, 5.034833633155841102e-08, 1.411050607523189460e-09, 9.669398863315380773e-08, 2.709922935807736109e-09
-2.477352941176470580e+01, 6.195777191392862607e-08, 2.138064149845379716e-09, 1.208126845828320450e-07, 4.169053562997180102e-09
-2.461470588235294343e+01, 7.613187765516856322e-08, 3.207361939360276231e-09, 1.507869001258752304e-07, 6.352505406584020392e-09
-2.445588235294117396e+01, 9.340045281053248543e-08, 4.765484082038981956e-09, 1.879829223211584230e-07, 9.591277098344333791e-09
-2.429705882352941160e+01, 1.143927157278366536e-07, 7.015630074882844468e-09, 2.340708599913160333e-07, 1.435541200818927415e-08
-2.413823529411764923e+01, 1.398525682504704446e-07, 1.023726118706521612e-08, 2.910868724686503364e-07, 2.130766977586407600e-08
-2.397941176470587976e+01, 1.706554615507995785e-07, 1.481169503558793966e-08, 3.615071242389991958e-07, 3.137627843118607750e-08
-2.382058823529411740e+01, 2.078297811989140957e-07, 2.125527910634481481e-08, 4.483418293981298578e-07, 4.585305659243158382e-08
-2.366176470588235503e+01, 2.525762851351659438e-07, 3.026207807812236652e-08, 5.552385473271818921e-07, 6.652513818629681630e-08
-2.350294117647058556e+01, 3.062904996357738067e-07, 4.275841122545240387e-08, 6.866079147311800510e-07, 9.585104207815006151e-08
-2.334411764705882320e+01, 3.705913415254559152e-07, 5.997202948874016976e-08, 8.477835748329958971e-07, 1.371950605771548148e-07
-2.318529411764706083e+01, 4.473410946345668346e-07, 8.351921976624492531e-08, 1.045187985668432345e-06, 1.951380861697730414e-07
-2.302647058823529136e+01, 5.386725613423451122e-07, 1.155136502953866985e-07, 1.286544510728350059e-06, 2.758882916393341277e-07
-2.286764705882352899e+01, 6.470200560899670991e-07, 1.587012959776979413e-07, 1.581137003245515110e-06, 3.878218135149517746e-07
-2.270882352941176663e+01, 7.751318350449977443e-07, 2.166262572103187336e-07, 1.940071212171252734e-06, 5.421921103133987402e-07
-2.255000000000000071e+01, 9.260949184961496571e-07, 2.938326345477730874e-07, 2.376620682959424579e-06, 7.540573894182303745e-07
-2.239117647058823479e+01, 1.103352457979534214e-06, 3.961077318952445201e-07, 2.906623514250143022e-06, 1.043488904544013717e-06
-2.223235294117647243e+01, 1.310690736400137586e-06, 5.307715725709218775e-07, 3.548881724948312471e-06, 1.437139579694082803e-06
-2.207352941176470651e+01, 1.552241258940559882e-06, 7.070168020107933508e-07, 4.325694879240421509e-06, 1.970272947185036276e-06
-2.191470588235294059e+01, 1.832449855308721623e-06, 9.363012112405281198e-07, 5.263423050058965190e-06, 2.689377481607132444e-06
-2.175588235294117823e+01, 2.155999906252900810e-06, 1.232791958669491161e-06, 6.393053350369573403e-06, 3.655521848040458144e-06
-2.159705882352941231e+01, 2.527753869872214408e-06, 1.613855546900501071e-06, 7.750973520306230857e-06, 4.948643045795228957e-06
-2.143823529411764639e+01, 2.952606515861257520e-06, 2.100580073533705170e-06, 9.379671528851969678e-06, 6.673002651709821953e-06
-2.127941176470588402e+01, 3.435281972792874713e-06, 2.718305551958296020e-06, 1.132845509558174084e-05, 8.964097452645055335e-06
-2.112058823529411811e+01, 3.980157141846817680e-06, 3.497122750510300598e-06, 1.365448581331899301e-05, 1.199736876773690638e-05
-2.096176470588235219e+01, 4.590890211525267704e-06, 4.472280530728687025e-06, 1.642343570774491994e-05, 1.599912182152118373e-05
-2.080294117647058982e+01, 5.270014253615406151e-06, 5.684415070245783529e-06, 1.971025344170839819e-05, 2.126014395986632567e-05
-2.064411764705882746e+01, 6.018582719663834075e-06, 7.179476887528147225e-06, 2.360041948419978815e-05, 2.815258576893752367e-05
-2.048529411764705799e+01, 6.835426356126917001e-06, 9.008189098084742731e-06, 2.819005298736501733e-05, 3.715076642843107105e-05
-2.032647058823529562e+01, 7.716524934125417381e-06, 1.122481448567425983e-05, 3.358662539558561943e-05, 4.885666054133128904e-05
-2.016764705882353326e+01, 8.654388292606447617e-06, 1.388493351617977752e-05, 3.991003504820476511e-05, 6.403088982570191365e-05
-2.000882352941176379e+01, 9.636898384704750123e-06, 1.704186602991035349e-05, 4.729151219456756655e-05, 8.363018712024990187e-05
-1.985000000000000142e+01, 1.064652633352658023e-05, 2.074126522227302772e-05, 5.587410025943199640e-05, 1.088523614399286533e-04
-1.969117647058823906e+01, 1.165942815836421272e-05, 2.501328938847131869e-05, 6.581270860834487961e-05, 1.411897996625782943e-04
-1.953235294117646959e+01, 1.264404372578239723e-05, 2.986167261978418119e-05, 7.727118867699702613e-05, 1.824927997131928572e-04
-1.937352941176470722e+01, 1.446759575153608432e-05, 3.760701644233870923e-05, 9.042247344710050328e-05, 2.350438527646169157e-04
-1.921470588235294485e+01, 1.687144421453353973e-05, 4.826303301736145694e-05, 1.054465263408346115e-04, 3.016439563585090805e-04
-1.905588235294117538e+01, 1.960400356938972195e-05, 6.171402177141931534e-05, 1.225250223086857791e-04, 3.857126360713706735e-04
-1.889705882352941302e+01, 2.269473125401680834e-05, 7.862435066574769869e-05, 1.418420703376049776e-04, 4.914021916609230762e-04
-1.873823529411765065e+01, 2.617252906050201154e-05, 9.979635697644547864e-05, 1.635783066281375382e-04, 6.237272311027841805e-04
-1.857941176470588118e+01, 3.006456586078940711e-05, 1.261939026677724003e-04, 1.879035366299338554e-04, 7.887118916735774135e-04
-1.842058823529411882e+01, 3.439694147357362183e-05, 1.589684004227207514e-04, 2.149808842098351568e-04, 9.935525026420046011e-04
-1.826176470588235645e+01, 3.919259592958775421e-05, 1.994876628573751182e-04, 2.449537245599233554e-04, 1.246797892858594143e-03
-1.810294117647058698e+01, 4.447015020344106083e-05, 2.493682464613785157e-04, 2.779384387715062507e-04, 1.558551540383615493e-03
-1.794411764705882462e+01, 5.024606611237885647e-05, 3.105093963977045282e-04, 3.140379132023677581e-04, 1.940683727485653003e-03
-1.778529411764706225e+01, 5.653009313830880843e-05, 3.851304912221571015e-04, 3.533130821144303373e-04, 2.407065570138481464e-03
-1.762647058823529278e+01, 6.332569744633894391e-05, 4.758120150890340710e-04, 3.957856090396182774e-04, 2.973825094306462632e-03
-1.746764705882353041e+01, 7.063349216199438577e-05, 5.855359280633872995e-04, 4.414593260124652363e-04, 3.659599550396169972e-03
-1.730882352941176805e+01, 7.844370237148257010e-05, 7.177308260602817836e-04, 4.902731398217655481e-04, 4.485817662876760877e-03
-1.714999999999999858e+01, 8.674001309192844698e-05, 8.763190673737226728e-04, 5.421250818245524142e-04, 5.476994171085766000e-03
-1.699117647058823621e+01, 9.550257562353507874e-05, 1.065759285906686237e-03, 5.968910976470948385e-04, 6.660995536916787356e-03
